source,target,link_type,similarity
48d0420d-7862-4226-96c2-124987012b8f,6b14d597-3831-454c-99d4-40a7ce191901,RELATES_TO,0.7337
0992f82c-6f23-44a5-8c57-7405c37bdff6,6b14d597-3831-454c-99d4-40a7ce191901,RELATES_TO,0.6449
8be621c8-7f09-48a7-8345-72ec19a567b4,6b14d597-3831-454c-99d4-40a7ce191901,RELATES_TO,0.7616
f44b0a71-63e2-42e8-a26a-fb815c0f657e,6b14d597-3831-454c-99d4-40a7ce191901,RELATES_TO,0.6732
962ccd9a-3b89-4b26-9bd3-ea8bbb4b5bb4,e86fbd5e-e196-4f8a-bb32-2b47051a91fe,RELATES_TO,0.7939
962ccd9a-3b89-4b26-9bd3-ea8bbb4b5bb4,8be621c8-7f09-48a7-8345-72ec19a567b4,RELATES_TO,0.7863
962ccd9a-3b89-4b26-9bd3-ea8bbb4b5bb4,64d2e12a-d89c-4f71-92e2-e565db5d46eb,RELATES_TO,0.7746
962ccd9a-3b89-4b26-9bd3-ea8bbb4b5bb4,b01689b6-3d49-4b7a-bcb6-b0f5c17786f4,RELATES_TO,0.7429
f44b0a71-63e2-42e8-a26a-fb815c0f657e,962ccd9a-3b89-4b26-9bd3-ea8bbb4b5bb4,RELATES_TO,0.7339
f44b0a71-63e2-42e8-a26a-fb815c0f657e,8be621c8-7f09-48a7-8345-72ec19a567b4,RELATES_TO,0.7748
f44b0a71-63e2-42e8-a26a-fb815c0f657e,e86fbd5e-e196-4f8a-bb32-2b47051a91fe,RELATES_TO,0.6834
f44b0a71-63e2-42e8-a26a-fb815c0f657e,64d2e12a-d89c-4f71-92e2-e565db5d46eb,RELATES_TO,0.6466
8be621c8-7f09-48a7-8345-72ec19a567b4,64d2e12a-d89c-4f71-92e2-e565db5d46eb,RELATES_TO,0.7664
8be621c8-7f09-48a7-8345-72ec19a567b4,e86fbd5e-e196-4f8a-bb32-2b47051a91fe,RELATES_TO,0.7605
b01689b6-3d49-4b7a-bcb6-b0f5c17786f4,8be621c8-7f09-48a7-8345-72ec19a567b4,RELATES_TO,0.7527
2ebf91f4-d9be-472e-a3d1-225eb76d7c2f,050f6f97-d221-4d73-9be9-39fa9b1f33e9,RELATES_TO,0.7008
2ebf91f4-d9be-472e-a3d1-225eb76d7c2f,498b6ac1-07f0-4a0f-a5c2-57feeb0be2ed,RELATES_TO,0.6597
2ebf91f4-d9be-472e-a3d1-225eb76d7c2f,d3bcd580-e4df-4beb-a53a-70f58473fc4e,RELATES_TO,0.6582
9d99854f-2ec5-4869-8c4d-819663842201,2ebf91f4-d9be-472e-a3d1-225eb76d7c2f,RELATES_TO,0.5478
200ad9d6-ce9a-49e6-b98c-667642fc54ef,2ebf91f4-d9be-472e-a3d1-225eb76d7c2f,RELATES_TO,0.6166
12a4fee3-623a-4e73-ba6e-da0b7583c635,2ebf91f4-d9be-472e-a3d1-225eb76d7c2f,RELATES_TO,0.6350
050f6f97-d221-4d73-9be9-39fa9b1f33e9,498b6ac1-07f0-4a0f-a5c2-57feeb0be2ed,RELATES_TO,0.7256
050f6f97-d221-4d73-9be9-39fa9b1f33e9,14533798-9c62-4138-89eb-1b2c6b5de9e2,RELATES_TO,0.7070
050f6f97-d221-4d73-9be9-39fa9b1f33e9,ceb502db-3368-4fbe-86b2-f8cfb04a3d59,RELATES_TO,0.7050
a3fbe51a-5f62-47d1-a63c-1e1b4b0c9367,050f6f97-d221-4d73-9be9-39fa9b1f33e9,RELATES_TO,0.6266
12a4fee3-623a-4e73-ba6e-da0b7583c635,050f6f97-d221-4d73-9be9-39fa9b1f33e9,RELATES_TO,0.6027
14533798-9c62-4138-89eb-1b2c6b5de9e2,48d0420d-7862-4226-96c2-124987012b8f,RELATES_TO,0.6910
14533798-9c62-4138-89eb-1b2c6b5de9e2,ceb502db-3368-4fbe-86b2-f8cfb04a3d59,RELATES_TO,0.6786
14533798-9c62-4138-89eb-1b2c6b5de9e2,984ec5c1-ebf7-4ee2-b4a1-d54ac5008309,RELATES_TO,0.6778
14533798-9c62-4138-89eb-1b2c6b5de9e2,e6e33355-fd10-43b9-8c4d-23d783876c4a,RELATES_TO,0.6666
STARTER-001,14533798-9c62-4138-89eb-1b2c6b5de9e2,RELATES_TO,0.7332
12a4fee3-623a-4e73-ba6e-da0b7583c635,4d52717c-432b-46d1-b240-457b82c745b8,RELATES_TO,0.6107
12a4fee3-623a-4e73-ba6e-da0b7583c635,984ec5c1-ebf7-4ee2-b4a1-d54ac5008309,RELATES_TO,0.6079
e768b072-2f7b-483c-ae3c-84d8a95dc2bc,12a4fee3-623a-4e73-ba6e-da0b7583c635,RELATES_TO,0.6007
e86fbd5e-e196-4f8a-bb32-2b47051a91fe,64d2e12a-d89c-4f71-92e2-e565db5d46eb,RELATES_TO,0.8452
e86fbd5e-e196-4f8a-bb32-2b47051a91fe,b01689b6-3d49-4b7a-bcb6-b0f5c17786f4,RELATES_TO,0.7854
f0087ff3-f56b-455c-8626-78b60f895474,e86fbd5e-e196-4f8a-bb32-2b47051a91fe,RELATES_TO,0.7368
e6e33355-fd10-43b9-8c4d-23d783876c4a,e86fbd5e-e196-4f8a-bb32-2b47051a91fe,RELATES_TO,0.6772
STARTER-002,e86fbd5e-e196-4f8a-bb32-2b47051a91fe,RELATES_TO,0.7792
d3bcd580-e4df-4beb-a53a-70f58473fc4e,498b6ac1-07f0-4a0f-a5c2-57feeb0be2ed,RELATES_TO,0.9336
d3bcd580-e4df-4beb-a53a-70f58473fc4e,4d52717c-432b-46d1-b240-457b82c745b8,RELATES_TO,0.7330
